"id","upstreamId","queryId","schedulingThreadId","schedulingTime(us)","executionThreadId","startTime(us)","stopTime(us)","pipeline"
315637753995244,315637716619822,1,1,17131483,33,17131553,17163738,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637786316376,315637753995244,1,1,17163804,33,17163885,17196692,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637819251818,315637786316376,1,1,17196739,33,17196805,17226878,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637849440824,315637819251818,1,1,17226928,33,17226989,17245286,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637867855812,315637849440824,1,1,17245343,33,17245390,17270551,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637893116931,315637867855812,1,1,17270604,33,17270651,17292974,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637915538894,315637893116931,1,1,17293026,33,17293073,17318363,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637940972905,315637915538894,1,1,17318460,33,17318550,17338039,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637960608703,315637940972905,1,1,17338096,33,17338146,17356923,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315637979484718,315637960608703,1,1,17356972,33,17357009,17378933,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638001507357,315637979484718,1,1,17378995,33,17379051,17403849,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638026417195,315638001507357,1,1,17403905,33,17403958,17424505,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638047066475,315638026417195,1,1,17424554,33,17424597,17450826,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638073394792,315638047066475,1,1,17450882,33,17450929,17479750,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638102320850,315638073394792,1,1,17479808,33,17479863,17513851,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638136439200,315638102320850,1,1,17513927,33,17513980,17545933,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638168511884,315638136439200,1,1,17545999,33,17546039,17575349,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638197922554,315638168511884,1,1,17575410,33,17575474,17601885,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638224449940,315638197922554,1,1,17601937,33,17602022,17627329,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638249909477,315638224449940,1,1,17627397,33,17627432,17649926,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638272513661,315638249909477,1,1,17650001,33,17650054,17679098,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638301665317,315638272513661,1,1,17679153,33,17679200,17704426,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638326997719,315638301665317,1,1,17704485,33,17704533,17730667,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638353249454,315638326997719,1,1,17730737,33,17730795,17758076,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638380645940,315638353249454,1,1,17758133,33,17758178,17784614,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638407201106,315638380645940,1,1,17784689,33,17784747,17812800,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638435369350,315638407201106,1,1,17812857,33,17812919,17836558,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638459114882,315638435369350,1,1,17836602,33,17836654,17858690,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638481258729,315638459114882,1,1,17858746,33,17858799,17878412,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638501092118,315638481258729,1,1,17878580,33,17878652,17906748,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638529332230,315638501092118,1,1,17906820,33,17906877,17939748,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638562314020,315638529332230,1,1,17939802,33,17939846,17975562,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638598164474,315638562314020,1,1,17975652,33,17975758,18007558,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638630125303,315638598164474,1,1,18007613,33,18007659,18031464,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638654031337,315638630125303,1,1,18031519,33,18031562,18048890,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638671457408,315638654031337,1,1,18048945,33,18048990,18072629,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638695200246,315638671457408,1,1,18072688,33,18072723,18093093,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638715650982,315638695200246,1,1,18093138,33,18093175,18110721,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638733287507,315638715650982,1,1,18110775,33,18110819,18132485,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638755047109,315638733287507,1,1,18132535,33,18132581,18157441,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638780007316,315638755047109,1,1,18157495,33,18157538,18181710,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638804273305,315638780007316,1,1,18181761,33,18181805,18204470,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638827033489,315638804273305,1,1,18204521,33,18204564,18230543,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638853104238,315638827033489,1,1,18230592,33,18230634,18255526,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638878088456,315638853104238,1,1,18255576,33,18255620,18283932,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638906492844,315638878088456,1,1,18283980,33,18284021,18306777,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638929369553,315638906492844,1,1,18306857,33,18306917,18340237,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638962802831,315638929369553,1,1,18340290,33,18340336,18369101,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315638991679492,315638962802831,1,1,18369167,33,18369211,18393719,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639016281641,315638991679492,1,1,18393769,33,18393836,18420806,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639043366372,315639016281641,1,1,18420854,33,18420904,18446900,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639069479330,315639043366372,1,1,18446967,33,18447014,18478508,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639101077593,315639069479330,1,1,18478565,33,18478610,18507127,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639129704671,315639101077593,1,1,18507192,33,18507257,18538164,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639160733959,315639129704671,1,1,18538221,33,18538293,18567748,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639190306408,315639160733959,1,1,18567794,33,18567860,18588427,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639210996180,315639190306408,1,1,18588484,33,18588530,18609238,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639231802213,315639210996180,1,1,18609290,33,18609334,18631378,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639253943562,315639231802213,1,1,18631431,33,18631474,18652145,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639274718175,315639253943562,1,1,18652206,33,18652274,18678080,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639300632940,315639274718175,1,1,18678120,33,18678188,18704194,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639326769291,315639300632940,1,1,18704257,33,18704306,18728470,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315639351046369,315639326769291,1,1,18728534,33,18728586,18749334,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
